,ONTOLOGY,ID,Description,pvalue,p.adjust,qvalue,geneID,Count
GO:0008307,MF,GO:0008307,structural constituent of muscle,0.000448586,0.000448586,0.01056539,NEB/OBSCN/PLEC/TTN,4
GO:0140657,MF,GO:0140657,ATP-dependent activity,0.00055283,0.00055283,0.011573864,ABCA4/ABCA7/ABCB5/ABCC8/DNAH11/DNAH14/DNAH17/DNAH3/DNAH5/KIF7/MYO9A,11
GO:0005201,MF,GO:0005201,extracellular matrix structural constituent,0.00075942,0.00075942,0.014309066,COL14A1/COL6A6/FBN3/LAMA3/MUC17/MUC4/MUC6,7
GO:0140359,MF,GO:0140359,ABC-type transporter activity,0.001213069,0.001213069,0.020778891,ABCA4/ABCA7/ABCB5/ABCC8,4
GO:0032266,MF,GO:0032266,phosphatidylinositol-3-phosphate binding,0.003703675,0.003703675,0.058154193,OBSCN/TECPR1/VPS13B,3
GO:0042626,MF,GO:0042626,ATPase-coupled transmembrane transporter activity,0.004837977,0.004837977,0.07012128,ABCA4/ABCA7/ABCB5/ABCC8,4
GO:0015399,MF,GO:0015399,primary active transmembrane transporter activity,0.007467418,0.007467418,0.097057116,ABCA4/ABCA7/ABCB5/ABCC8,4
GO:0005524,MF,GO:0005524,ATP binding,0.007726614,0.007726614,0.097057116,ABCA4/ABCA7/ABCB5/ABCC8/CACNA1B/DNAH11/DNAH14/DNAH17/DNAH3/DNAH5/KIF7/MYO9A/OBSCN/TTN/WNK1,15
GO:0032559,MF,GO:0032559,adenyl ribonucleotide binding,0.010319333,0.010319333,0.116931665,ABCA4/ABCA7/ABCB5/ABCC8/CACNA1B/DNAH11/DNAH14/DNAH17/DNAH3/DNAH5/KIF7/MYO9A/OBSCN/TTN/WNK1,15
GO:0030554,MF,GO:0030554,adenyl nucleotide binding,0.010956573,0.010956573,0.116931665,ABCA4/ABCA7/ABCB5/ABCC8/CACNA1B/DNAH11/DNAH14/DNAH17/DNAH3/DNAH5/KIF7/MYO9A/OBSCN/TTN/WNK1,15
GO:0032553,MF,GO:0032553,ribonucleotide binding,0.011170567,0.011170567,0.116931665,ABCA4/ABCA7/ABCB5/ABCC8/CACNA1B/DNAH11/DNAH14/DNAH17/DNAH3/DNAH5/KIF7/MYO9A/NOS1/OBSCN/TTN/WNK1,16
GO:0015459,MF,GO:0015459,potassium channel regulator activity,0.015677102,0.015677102,0.148045555,AKAP9/WNK1,2
GO:0051015,MF,GO:0051015,actin filament binding,0.015727469,0.015727469,0.148045555,MYO9A/NEB/PLEC/SYNE1/TTN,5
GO:0016247,MF,GO:0016247,channel regulator activity,0.017285766,0.017285766,0.148045555,AKAP9/NOS1/WNK1,3
GO:0099106,MF,GO:0099106,ion channel regulator activity,0.017285766,0.017285766,0.148045555,AKAP9/NOS1/WNK1,3
GO:0035639,MF,GO:0035639,purine ribonucleoside triphosphate binding,0.018215033,0.018215033,0.14922155,ABCA4/ABCA7/ABCB5/ABCC8/CACNA1B/DNAH11/DNAH14/DNAH17/DNAH3/DNAH5/KIF7/MYO9A/OBSCN/TTN/WNK1,15
GO:0140326,MF,GO:0140326,ATPase-coupled intramembrane lipid transporter activity,0.021726405,0.021726405,0.170571334,ABCA4/ABCA7,2
GO:0005261,MF,GO:0005261,cation channel activity,0.023554784,0.023554784,0.174065551,ABCC8/ASIC4/CACNA1B/PIEZO1/PKD1,5
GO:0032555,MF,GO:0032555,purine ribonucleotide binding,0.024019101,0.024019101,0.174065551,ABCA4/ABCA7/ABCB5/ABCC8/CACNA1B/DNAH11/DNAH14/DNAH17/DNAH3/DNAH5/KIF7/MYO9A/OBSCN/TTN/WNK1,15
GO:0017076,MF,GO:0017076,purine nucleotide binding,0.025249408,0.025249408,0.176204443,ABCA4/ABCA7/ABCB5/ABCC8/CACNA1B/DNAH11/DNAH14/DNAH17/DNAH3/DNAH5/KIF7/MYO9A/OBSCN/TTN/WNK1,15
GO:0005548,MF,GO:0005548,phospholipid transporter activity,0.028582457,0.028582457,0.18570816,ABCA4/ABCA7,2
GO:0140303,MF,GO:0140303,intramembrane lipid transporter activity,0.028582457,0.028582457,0.18570816,ABCA4/ABCA7,2
