"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032890","GO:0032890","regulation of organic acid transport","2/96","52/12100",0.0639587153343407,0.34157328309251,0.301751455155579,"MIF/RGS2",2
"GO:0045428","GO:0045428","regulation of nitric oxide biosynthetic process","2/96","52/12100",0.0639587153343407,0.34157328309251,0.301751455155579,"HSP90AA1/KLF2",2
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion","6/96","358/12100",0.0649950930169758,0.345902260616506,0.305575745086498,"HLA-DRB1/RPS3/HSPD1/HES1/XBP1/HSPH1",6
"GO:0071496","GO:0071496","cellular response to external stimulus","5/96","272/12100",0.0650799493481437,0.345902260616506,0.305575745086498,"BAG3/HSPA5/HNRNPA1/XBP1/UPP1",5
"GO:0034341","GO:0034341","response to interferon-gamma","3/96","117/12100",0.0659705413337268,0.347182617138544,0.306706833092401,"MRC1/IRF8/CCL3L3",3
"GO:1903322","GO:1903322","positive regulation of protein modification by small protein conjugation or removal","3/96","117/12100",0.0659705413337268,0.347182617138544,0.306706833092401,"HSPA5/UBB/ARRDC3",3
"GO:0045661","GO:0045661","regulation of myoblast differentiation","2/96","53/12100",0.0661331013882359,0.347182617138544,0.306706833092401,"ID3/DDIT3",2
"GO:0080164","GO:0080164","regulation of nitric oxide metabolic process","2/96","53/12100",0.0661331013882359,0.347182617138544,0.306706833092401,"HSP90AA1/KLF2",2
"GO:0046718","GO:0046718","viral entry into host cell","3/96","118/12100",0.0673170479187017,0.347182617138544,0.306706833092401,"HLA-DRB1/HSPA1B/MRC1",3
"GO:1903052","GO:1903052","positive regulation of proteolysis involved in protein catabolic process","3/96","118/12100",0.0673170479187017,0.347182617138544,0.306706833092401,"HSPA1B/ZFAND2A/HERPUD1",3
"GO:0002237","GO:0002237","response to molecule of bacterial origin","5/96","275/12100",0.0675434345084314,0.347182617138544,0.306706833092401,"MIF/XBP1/HMGB2/MRC1/IRF8",5
"GO:0009896","GO:0009896","positive regulation of catabolic process","7/96","452/12100",0.0675916949354399,0.347182617138544,0.306706833092401,"HSPA1B/ZFAND2A/HSP90AA1/BAG3/HIF1A/ZC3HAV1/HERPUD1",7
"GO:0002711","GO:0002711","positive regulation of T cell mediated immunity","2/96","54/12100",0.0683320100450625,0.347182617138544,0.306706833092401,"HLA-DRB1/HSPD1",2
"GO:0008306","GO:0008306","associative learning","2/96","54/12100",0.0683320100450625,0.347182617138544,0.306706833092401,"HIF1A/EIF4A3",2
"GO:0007548","GO:0007548","sex differentiation","4/96","194/12100",0.0683510286667802,0.347182617138544,0.306706833092401,"FKBP4/HSPA5/UBB/HMGB2",4
"GO:0050678","GO:0050678","regulation of epithelial cell proliferation","5/96","276/12100",0.0683760987042925,0.347182617138544,0.306706833092401,"HES1/HIF1A/XBP1/HMGB2/JUN",5
"GO:0016032","GO:0016032","viral process","6/96","364/12100",0.0692522513787448,0.347182617138544,0.306706833092401,"HLA-DRB1/HSPA1B/EEF1A1/JUN/MRC1/ZC3HAV1",6
"GO:2000147","GO:2000147","positive regulation of cell motility","7/96","455/12100",0.069500014243352,0.347182617138544,0.306706833092401,"HSPB1/RHOB/HSPA5/PTP4A1/HIF1A/XBP1/JUN",7
"GO:0097191","GO:0097191","extrinsic apoptotic signaling pathway","4/96","196/12100",0.0704094841761433,0.347182617138544,0.306706833092401,"HSPA1B/BAG3/DEDD2/HMGB2",4
"GO:0006942","GO:0006942","regulation of striated muscle contraction","2/96","55/12100",0.0705549247813174,0.347182617138544,0.306706833092401,"HSP90AA1/RGS2",2
"GO:0098930","GO:0098930","axonal transport","2/96","55/12100",0.0705549247813174,0.347182617138544,0.306706833092401,"HSPB1/HIF1A",2
"GO:1902893","GO:1902893","regulation of miRNA transcription","2/96","55/12100",0.0705549247813174,0.347182617138544,0.306706833092401,"HIF1A/JUN",2
"GO:1990874","GO:1990874","vascular associated smooth muscle cell proliferation","2/96","55/12100",0.0705549247813174,0.347182617138544,0.306706833092401,"JUN/DDIT3",2
"GO:0046661","GO:0046661","male sex differentiation","3/96","121/12100",0.0714317446237536,0.347182617138544,0.306706833092401,"FKBP4/UBB/HMGB2",3
"GO:0051249","GO:0051249","regulation of lymphocyte activation","7/96","458/12100",0.0714406780167709,0.347182617138544,0.306706833092401,"HLA-DRB1/RPS3/HSPD1/HES1/MIF/XBP1/HSPH1",7
"GO:0019730","GO:0019730","antimicrobial humoral response","2/96","56/12100",0.0728013355722005,0.347182617138544,0.306706833092401,"GNLY/LYZ",2
"GO:0032613","GO:0032613","interleukin-10 production","2/96","56/12100",0.0728013355722005,0.347182617138544,0.306706833092401,"HLA-DRB1/HSPD1",2
"GO:0032653","GO:0032653","regulation of interleukin-10 production","2/96","56/12100",0.0728013355722005,0.347182617138544,0.306706833092401,"HLA-DRB1/HSPD1",2
"GO:0046824","GO:0046824","positive regulation of nucleocytoplasmic transport","2/96","56/12100",0.0728013355722005,0.347182617138544,0.306706833092401,"HSP90AA1/BAG3",2
"GO:0061614","GO:0061614","miRNA transcription","2/96","56/12100",0.0728013355722005,0.347182617138544,0.306706833092401,"HIF1A/JUN",2
"GO:0070228","GO:0070228","regulation of lymphocyte apoptotic process","2/96","56/12100",0.0728013355722005,0.347182617138544,0.306706833092401,"MIF/HIF1A",2
"GO:1903578","GO:1903578","regulation of ATP metabolic process","2/96","56/12100",0.0728013355722005,0.347182617138544,0.306706833092401,"DDIT4/HIF1A",2
"GO:0010721","GO:0010721","negative regulation of cell development","3/96","122/12100",0.072828092383955,0.347182617138544,0.306706833092401,"PAEP/HES1/YWHAH",3
"GO:0001935","GO:0001935","endothelial cell proliferation","3/96","123/12100",0.0742366903426149,0.347182617138544,0.306706833092401,"HIF1A/HMGB2/JUN",3
"GO:0031331","GO:0031331","positive regulation of cellular catabolic process","6/96","371/12100",0.0744206034450532,0.347182617138544,0.306706833092401,"HSPA1B/ZFAND2A/BAG3/HIF1A/ZC3HAV1/HERPUD1",6
"GO:0001656","GO:0001656","metanephros development","2/96","57/12100",0.0750707388227952,0.347182617138544,0.306706833092401,"ID3/HES1",2
"GO:1903051","GO:1903051","negative regulation of proteolysis involved in protein catabolic process","2/96","57/12100",0.0750707388227952,0.347182617138544,0.306706833092401,"RPL11/RPL5",2
"GO:0040017","GO:0040017","positive regulation of locomotion","7/96","464/12100",0.0754191019317631,0.347182617138544,0.306706833092401,"HSPB1/RHOB/HSPA5/PTP4A1/HIF1A/XBP1/JUN",7
"GO:0044409","GO:0044409","entry into host","3/96","124/12100",0.0756574525275104,0.347182617138544,0.306706833092401,"HLA-DRB1/HSPA1B/MRC1",3
"GO:0106106","GO:0106106","cold-induced thermogenesis","3/96","124/12100",0.0756574525275104,0.347182617138544,0.306706833092401,"GADD45G/DDIT3/ARRDC3",3
"GO:0120161","GO:0120161","regulation of cold-induced thermogenesis","3/96","124/12100",0.0756574525275104,0.347182617138544,0.306706833092401,"GADD45G/DDIT3/ARRDC3",3
"GO:0000447","GO:0000447","endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","1/96","10/12100",0.0765928335825722,0.347182617138544,0.306706833092401,"RPS21",1
"GO:0002361","GO:0002361","CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation","1/96","10/12100",0.0765928335825722,0.347182617138544,0.306706833092401,"HLA-DRB1",1
"GO:0006563","GO:0006563","L-serine metabolic process","1/96","10/12100",0.0765928335825722,0.347182617138544,0.306706833092401,"SDS",1
"GO:0007144","GO:0007144","female meiosis I","1/96","10/12100",0.0765928335825722,0.347182617138544,0.306706833092401,"UBB",1
"GO:0009071","GO:0009071","serine family amino acid catabolic process","1/96","10/12100",0.0765928335825722,0.347182617138544,0.306706833092401,"SDS",1
"GO:0009158","GO:0009158","ribonucleoside monophosphate catabolic process","1/96","10/12100",0.0765928335825722,0.347182617138544,0.306706833092401,"UPP1",1
"GO:0009174","GO:0009174","pyrimidine ribonucleoside monophosphate biosynthetic process","1/96","10/12100",0.0765928335825722,0.347182617138544,0.306706833092401,"UPP1",1
"GO:0009176","GO:0009176","pyrimidine deoxyribonucleoside monophosphate metabolic process","1/96","10/12100",0.0765928335825722,0.347182617138544,0.306706833092401,"UPP1",1
"GO:0031115","GO:0031115","negative regulation of microtubule polymerization","1/96","10/12100",0.0765928335825722,0.347182617138544,0.306706833092401,"FKBP4",1
"GO:0031125","GO:0031125","rRNA 3'-end processing","1/96","10/12100",0.0765928335825722,0.347182617138544,0.306706833092401,"RPS21",1
"GO:0032908","GO:0032908","regulation of transforming growth factor beta1 production","1/96","10/12100",0.0765928335825722,0.347182617138544,0.306706833092401,"LUM",1
"GO:0034975","GO:0034975","protein folding in endoplasmic reticulum","1/96","10/12100",0.0765928335825722,0.347182617138544,0.306706833092401,"HSPA5",1
"GO:0042541","GO:0042541","hemoglobin biosynthetic process","1/96","10/12100",0.0765928335825722,0.347182617138544,0.306706833092401,"HIF1A",1
"GO:0045657","GO:0045657","positive regulation of monocyte differentiation","1/96","10/12100",0.0765928335825722,0.347182617138544,0.306706833092401,"HLA-DRB1",1
"GO:0045793","GO:0045793","positive regulation of cell size","1/96","10/12100",0.0765928335825722,0.347182617138544,0.306706833092401,"HSP90AA1",1
"GO:0046131","GO:0046131","pyrimidine ribonucleoside metabolic process","1/96","10/12100",0.0765928335825722,0.347182617138544,0.306706833092401,"UPP1",1
"GO:0046133","GO:0046133","pyrimidine ribonucleoside catabolic process","1/96","10/12100",0.0765928335825722,0.347182617138544,0.306706833092401,"UPP1",1
"GO:0051409","GO:0051409","response to nitrosative stress","1/96","10/12100",0.0765928335825722,0.347182617138544,0.306706833092401,"DDIT3",1
"GO:0060019","GO:0060019","radial glial cell differentiation","1/96","10/12100",0.0765928335825722,0.347182617138544,0.306706833092401,"HES1",1
"GO:0061029","GO:0061029","eyelid development in camera-type eye","1/96","10/12100",0.0765928335825722,0.347182617138544,0.306706833092401,"JUN",1
"GO:0061309","GO:0061309","cardiac neural crest cell development involved in outflow tract morphogenesis","1/96","10/12100",0.0765928335825722,0.347182617138544,0.306706833092401,"HES1",1
"GO:0097709","GO:0097709","connective tissue replacement","1/96","10/12100",0.0765928335825722,0.347182617138544,0.306706833092401,"HIF1A",1
"GO:0106070","GO:0106070","regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway","1/96","10/12100",0.0765928335825722,0.347182617138544,0.306706833092401,"ARRDC3",1
"GO:1902415","GO:1902415","regulation of mRNA binding","1/96","10/12100",0.0765928335825722,0.347182617138544,0.306706833092401,"EIF4A3",1
"GO:1903867","GO:1903867","extraembryonic membrane development","1/96","10/12100",0.0765928335825722,0.347182617138544,0.306706833092401,"DNAJB6",1
"GO:0014032","GO:0014032","neural crest cell development","2/96","58/12100",0.0773626372999148,0.347182617138544,0.306706833092401,"HES1/HIF1A",2
"GO:0038034","GO:0038034","signal transduction in absence of ligand","2/96","58/12100",0.0773626372999148,0.347182617138544,0.306706833092401,"HSPA1B/BAG3",2
"GO:0060760","GO:0060760","positive regulation of response to cytokine stimulus","2/96","58/12100",0.0773626372999148,0.347182617138544,0.306706833092401,"HSPA1B/HIF1A",2
"GO:0071806","GO:0071806","protein transmembrane transport","2/96","58/12100",0.0773626372999148,0.347182617138544,0.306706833092401,"HSPD1/HSPA5",2
"GO:0097192","GO:0097192","extrinsic apoptotic signaling pathway in absence of ligand","2/96","58/12100",0.0773626372999148,0.347182617138544,0.306706833092401,"HSPA1B/BAG3",2
"GO:0045596","GO:0045596","negative regulation of cell differentiation","7/96","468/12100",0.0781433141638557,0.347182617138544,0.306706833092401,"PAEP/ID3/HES1/XBP1/RGS2/DDIT3/YWHAH",7
"GO:0032635","GO:0032635","interleukin-6 production","3/96","126/12100",0.0785351211580846,0.347182617138544,0.306706833092401,"HSPD1/XBP1/KLF2",3
"GO:0032675","GO:0032675","regulation of interleukin-6 production","3/96","126/12100",0.0785351211580846,0.347182617138544,0.306706833092401,"HSPD1/XBP1/KLF2",3
"GO:0002437","GO:0002437","inflammatory response to antigenic stimulus","2/96","59/12100",0.0796765400646072,0.347182617138544,0.306706833092401,"HLA-DRB1/HMGB2",2
"GO:0032615","GO:0032615","interleukin-12 production","2/96","59/12100",0.0796765400646072,0.347182617138544,0.306706833092401,"HSPD1/IRF8",2
"GO:0032655","GO:0032655","regulation of interleukin-12 production","2/96","59/12100",0.0796765400646072,0.347182617138544,0.306706833092401,"HSPD1/IRF8",2
"GO:0035050","GO:0035050","embryonic heart tube development","2/96","59/12100",0.0796765400646072,0.347182617138544,0.306706833092401,"HES1/HIF1A",2
"GO:0050830","GO:0050830","defense response to Gram-positive bacterium","2/96","59/12100",0.0796765400646072,0.347182617138544,0.306706833092401,"LYZ/HMGB2",2
"GO:0051153","GO:0051153","regulation of striated muscle cell differentiation","2/96","59/12100",0.0796765400646072,0.347182617138544,0.306706833092401,"XBP1/RGS2",2
"GO:0050671","GO:0050671","positive regulation of lymphocyte proliferation","3/96","128/12100",0.0814603928076421,0.347182617138544,0.306706833092401,"RPS3/HES1/MIF",3
"GO:1903201","GO:1903201","regulation of oxidative stress-induced cell death","2/96","60/12100",0.0820119624053124,0.347182617138544,0.306706833092401,"HSPB1/HIF1A",2
"GO:0002440","GO:0002440","production of molecular mediator of immune response","4/96","208/12100",0.0834214501963959,0.347182617138544,0.306706833092401,"HLA-DRB1/HSPD1/MIF/XBP1",4
"GO:0050670","GO:0050670","regulation of lymphocyte proliferation","4/96","208/12100",0.0834214501963959,0.347182617138544,0.306706833092401,"HLA-DRB1/RPS3/HES1/MIF",4
"GO:0002328","GO:0002328","pro-B cell differentiation","1/96","11/12100",0.0839250989238519,0.347182617138544,0.306706833092401,"HES1",1
"GO:0007008","GO:0007008","outer mitochondrial membrane organization","1/96","11/12100",0.0839250989238519,0.347182617138544,0.306706833092401,"HSP90AA1",1
"GO:0009068","GO:0009068","aspartate family amino acid catabolic process","1/96","11/12100",0.0839250989238519,0.347182617138544,0.306706833092401,"SDS",1
"GO:0010968","GO:0010968","regulation of microtubule nucleation","1/96","11/12100",0.0839250989238519,0.347182617138544,0.306706833092401,"HSPA1B",1
"GO:0014850","GO:0014850","response to muscle activity","1/96","11/12100",0.0839250989238519,0.347182617138544,0.306706833092401,"HIF1A",1
"GO:0030903","GO:0030903","notochord development","1/96","11/12100",0.0839250989238519,0.347182617138544,0.306706833092401,"ID3",1
"GO:0031953","GO:0031953","negative regulation of protein autophosphorylation","1/96","11/12100",0.0839250989238519,0.347182617138544,0.306706833092401,"JUN",1
"GO:0035437","GO:0035437","maintenance of protein localization in endoplasmic reticulum","1/96","11/12100",0.0839250989238519,0.347182617138544,0.306706833092401,"HSPA5",1
"GO:0036490","GO:0036490","regulation of translation in response to endoplasmic reticulum stress","1/96","11/12100",0.0839250989238519,0.347182617138544,0.306706833092401,"PPP1R15A",1
"GO:0043380","GO:0043380","regulation of memory T cell differentiation","1/96","11/12100",0.0839250989238519,0.347182617138544,0.306706833092401,"HLA-DRB1",1
"GO:0045040","GO:0045040","protein insertion into mitochondrial outer membrane","1/96","11/12100",0.0839250989238519,0.347182617138544,0.306706833092401,"HSP90AA1",1
"GO:0045654","GO:0045654","positive regulation of megakaryocyte differentiation","1/96","11/12100",0.0839250989238519,0.347182617138544,0.306706833092401,"HMGB2",1
"GO:0048532","GO:0048532","anatomical structure arrangement","1/96","11/12100",0.0839250989238519,0.347182617138544,0.306706833092401,"HSPA5",1
"GO:0048711","GO:0048711","positive regulation of astrocyte differentiation","1/96","11/12100",0.0839250989238519,0.347182617138544,0.306706833092401,"HES1",1
"GO:0051133","GO:0051133","regulation of NK T cell activation","1/96","11/12100",0.0839250989238519,0.347182617138544,0.306706833092401,"HSPH1",1
"GO:0061418","GO:0061418","regulation of transcription from RNA polymerase II promoter in response to hypoxia","1/96","11/12100",0.0839250989238519,0.347182617138544,0.306706833092401,"HIF1A",1
"GO:0072234","GO:0072234","metanephric nephron tubule development","1/96","11/12100",0.0839250989238519,0.347182617138544,0.306706833092401,"HES1",1
"GO:0097084","GO:0097084","vascular associated smooth muscle cell development","1/96","11/12100",0.0839250989238519,0.347182617138544,0.306706833092401,"HES1",1
"GO:0099170","GO:0099170","postsynaptic modulation of chemical synaptic transmission","1/96","11/12100",0.0839250989238519,0.347182617138544,0.306706833092401,"EIF4A3",1
"GO:1901029","GO:1901029","negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway","1/96","11/12100",0.0839250989238519,0.347182617138544,0.306706833092401,"SLC25A6",1
"GO:1901533","GO:1901533","negative regulation of hematopoietic progenitor cell differentiation","1/96","11/12100",0.0839250989238519,0.347182617138544,0.306706833092401,"HES1",1
"GO:1902947","GO:1902947","regulation of tau-protein kinase activity","1/96","11/12100",0.0839250989238519,0.347182617138544,0.306706833092401,"HSP90AA1",1
"GO:1903265","GO:1903265","positive regulation of tumor necrosis factor-mediated signaling pathway","1/96","11/12100",0.0839250989238519,0.347182617138544,0.306706833092401,"HSPA1B",1
"GO:1903599","GO:1903599","positive regulation of autophagy of mitochondrion","1/96","11/12100",0.0839250989238519,0.347182617138544,0.306706833092401,"HIF1A",1
"GO:1903671","GO:1903671","negative regulation of sprouting angiogenesis","1/96","11/12100",0.0839250989238519,0.347182617138544,0.306706833092401,"KLF2",1
"GO:1905456","GO:1905456","regulation of lymphoid progenitor cell differentiation","1/96","11/12100",0.0839250989238519,0.347182617138544,0.306706833092401,"HES1",1
"GO:1905522","GO:1905522","negative regulation of macrophage migration","1/96","11/12100",0.0839250989238519,0.347182617138544,0.306706833092401,"MIF",1
"GO:2000345","GO:2000345","regulation of hepatocyte proliferation","1/96","11/12100",0.0839250989238519,0.347182617138544,0.306706833092401,"XBP1",1
"GO:0002562","GO:0002562","somatic diversification of immune receptors via germline recombination within a single locus","2/96","61/12100",0.0843684257716673,0.347182617138544,0.306706833092401,"HSPD1/HMGB2",2
"GO:0007589","GO:0007589","body fluid secretion","2/96","61/12100",0.0843684257716673,0.347182617138544,0.306706833092401,"HIF1A/XBP1",2
"GO:0010657","GO:0010657","muscle cell apoptotic process","2/96","61/12100",0.0843684257716673,0.347182617138544,0.306706833092401,"HSP90AA1/BAG3",2
"GO:0016444","GO:0016444","somatic cell DNA recombination","2/96","61/12100",0.0843684257716673,0.347182617138544,0.306706833092401,"HSPD1/HMGB2",2
"GO:0032722","GO:0032722","positive regulation of chemokine production","2/96","61/12100",0.0843684257716673,0.347182617138544,0.306706833092401,"MIF/HIF1A",2
"GO:0071277","GO:0071277","cellular response to calcium ion","2/96","61/12100",0.0843684257716673,0.347182617138544,0.306706833092401,"HSPA5/JUN",2
"GO:0032946","GO:0032946","positive regulation of mononuclear cell proliferation","3/96","131/12100",0.0859359806065815,0.347182617138544,0.306706833092401,"RPS3/HES1/MIF",3
"GO:0070507","GO:0070507","regulation of microtubule cytoskeleton organization","3/96","131/12100",0.0859359806065815,0.347182617138544,0.306706833092401,"HSPA1B/FKBP4/RPS3",3
"GO:0006809","GO:0006809","nitric oxide biosynthetic process","2/96","62/12100",0.0867454577089512,0.347182617138544,0.306706833092401,"HSP90AA1/KLF2",2
"GO:0032944","GO:0032944","regulation of mononuclear cell proliferation","4/96","211/12100",0.0868483040178269,0.347182617138544,0.306706833092401,"HLA-DRB1/RPS3/HES1/MIF",4
"GO:0042110","GO:0042110","T cell activation","7/96","481/12100",0.0873937801454985,0.347182617138544,0.306706833092401,"HLA-DRB1/RPS6/RPS3/HSPD1/HES1/XBP1/HSPH1",7
"GO:2001236","GO:2001236","regulation of extrinsic apoptotic signaling pathway","3/96","132/12100",0.0874508584843306,0.347182617138544,0.306706833092401,"HSPA1B/DEDD2/HMGB2",3
"GO:0031668","GO:0031668","cellular response to extracellular stimulus","4/96","212/12100",0.0880057451288551,0.347182617138544,0.306706833092401,"HSPA5/HNRNPA1/XBP1/UPP1",4
"GO:0002831","GO:0002831","regulation of response to biotic stimulus","5/96","298/12100",0.0881344704696405,0.347182617138544,0.306706833092401,"HLA-DRB1/HSP90AA1/HSPD1/MIF/HMGB2",5
"GO:0044070","GO:0044070","regulation of anion transport","2/96","63/12100",0.0891425917931667,0.347182617138544,0.306706833092401,"MIF/RGS2",2
"GO:0048864","GO:0048864","stem cell development","2/96","63/12100",0.0891425917931667,0.347182617138544,0.306706833092401,"HES1/HIF1A",2
"GO:0090277","GO:0090277","positive regulation of peptide hormone secretion","2/96","63/12100",0.0891425917931667,0.347182617138544,0.306706833092401,"HLA-DRB1/HIF1A",2
"GO:0048608","GO:0048608","reproductive structure development","4/96","214/12100",0.0903431808219898,0.347182617138544,0.306706833092401,"FKBP4/HSPA5/UBB/HMGB2",4
"GO:0048514","GO:0048514","blood vessel morphogenesis","7/96","485/12100",0.0903617821434895,0.347182617138544,0.306706833092401,"HSPB1/RHOB/HES1/HIF1A/XBP1/JUN/KLF2",7
"GO:1990845","GO:1990845","adaptive thermogenesis","3/96","134/12100",0.0905145795169157,0.347182617138544,0.306706833092401,"GADD45G/DDIT3/ARRDC3",3
"GO:0042326","GO:0042326","negative regulation of phosphorylation","5/96","301/12100",0.0910391811629,0.347182617138544,0.306706833092401,"HSPB1/DDIT4/JUN/RGS2/GADD45B",5
"GO:0003413","GO:0003413","chondrocyte differentiation involved in endochondral bone morphogenesis","1/96","12/12100",0.091199744511023,0.347182617138544,0.306706833092401,"SERPINH1",1
"GO:0006122","GO:0006122","mitochondrial electron transport, ubiquinol to cytochrome c","1/96","12/12100",0.091199744511023,0.347182617138544,0.306706833092401,"CYCS",1
"GO:0020027","GO:0020027","hemoglobin metabolic process","1/96","12/12100",0.091199744511023,0.347182617138544,0.306706833092401,"HIF1A",1
"GO:0021783","GO:0021783","preganglionic parasympathetic fiber development","1/96","12/12100",0.091199744511023,0.347182617138544,0.306706833092401,"HES1",1
"GO:0021854","GO:0021854","hypothalamus development","1/96","12/12100",0.091199744511023,0.347182617138544,0.306706833092401,"UBB",1
"GO:0030502","GO:0030502","negative regulation of bone mineralization","1/96","12/12100",0.091199744511023,0.347182617138544,0.306706833092401,"HIF1A",1
"GO:0030949","GO:0030949","positive regulation of vascular endothelial growth factor receptor signaling pathway","1/96","12/12100",0.091199744511023,0.347182617138544,0.306706833092401,"HIF1A",1
"GO:0031650","GO:0031650","regulation of heat generation","1/96","12/12100",0.091199744511023,0.347182617138544,0.306706833092401,"ARRDC3",1
"GO:0032306","GO:0032306","regulation of prostaglandin secretion","1/96","12/12100",0.091199744511023,0.347182617138544,0.306706833092401,"MIF",1
"GO:0032308","GO:0032308","positive regulation of prostaglandin secretion","1/96","12/12100",0.091199744511023,0.347182617138544,0.306706833092401,"MIF",1
"GO:0032352","GO:0032352","positive regulation of hormone metabolic process","1/96","12/12100",0.091199744511023,0.347182617138544,0.306706833092401,"HIF1A",1
"GO:0032700","GO:0032700","negative regulation of interleukin-17 production","1/96","12/12100",0.091199744511023,0.347182617138544,0.306706833092401,"DDIT3",1
"GO:0032725","GO:0032725","positive regulation of granulocyte macrophage colony-stimulating factor production","1/96","12/12100",0.091199744511023,0.347182617138544,0.306706833092401,"PAEP",1
"GO:0032905","GO:0032905","transforming growth factor beta1 production","1/96","12/12100",0.091199744511023,0.347182617138544,0.306706833092401,"LUM",1
"GO:0034616","GO:0034616","response to laminar fluid shear stress","1/96","12/12100",0.091199744511023,0.347182617138544,0.306706833092401,"KLF2",1
"GO:0043379","GO:0043379","memory T cell differentiation","1/96","12/12100",0.091199744511023,0.347182617138544,0.306706833092401,"HLA-DRB1",1
"GO:0043922","GO:0043922","negative regulation by host of viral transcription","1/96","12/12100",0.091199744511023,0.347182617138544,0.306706833092401,"JUN",1
"GO:0045686","GO:0045686","negative regulation of glial cell differentiation","1/96","12/12100",0.091199744511023,0.347182617138544,0.306706833092401,"HES1",1
"GO:0045820","GO:0045820","negative regulation of glycolytic process","1/96","12/12100",0.091199744511023,0.347182617138544,0.306706833092401,"DDIT4",1
"GO:0045986","GO:0045986","negative regulation of smooth muscle contraction","1/96","12/12100",0.091199744511023,0.347182617138544,0.306706833092401,"RGS2",1
"GO:0046049","GO:0046049","UMP metabolic process","1/96","12/12100",0.091199744511023,0.347182617138544,0.306706833092401,"UPP1",1
"GO:0046135","GO:0046135","pyrimidine nucleoside catabolic process","1/96","12/12100",0.091199744511023,0.347182617138544,0.306706833092401,"UPP1",1
"GO:0046598","GO:0046598","positive regulation of viral entry into host cell","1/96","12/12100",0.091199744511023,0.347182617138544,0.306706833092401,"HLA-DRB1",1
"GO:0048385","GO:0048385","regulation of retinoic acid receptor signaling pathway","1/96","12/12100",0.091199744511023,0.347182617138544,0.306706833092401,"KLF2",1
"GO:0048486","GO:0048486","parasympathetic nervous system development","1/96","12/12100",0.091199744511023,0.347182617138544,0.306706833092401,"HES1",1
"GO:0055089","GO:0055089","fatty acid homeostasis","1/96","12/12100",0.091199744511023,0.347182617138544,0.306706833092401,"XBP1",1
"GO:0060192","GO:0060192","negative regulation of lipase activity","1/96","12/12100",0.091199744511023,0.347182617138544,0.306706833092401,"RGS2",1
"GO:0060576","GO:0060576","intestinal epithelial cell development","1/96","12/12100",0.091199744511023,0.347182617138544,0.306706833092401,"HIF1A",1
"GO:0061050","GO:0061050","regulation of cell growth involved in cardiac muscle cell development","1/96","12/12100",0.091199744511023,0.347182617138544,0.306706833092401,"RGS2",1
"GO:0061323","GO:0061323","cell proliferation involved in heart morphogenesis","1/96","12/12100",0.091199744511023,0.347182617138544,0.306706833092401,"HES1",1
"GO:0070207","GO:0070207","protein homotrimerization","1/96","12/12100",0.091199744511023,0.347182617138544,0.306706833092401,"MIF",1
"GO:0070424","GO:0070424","regulation of nucleotide-binding oligomerization domain containing signaling pathway","1/96","12/12100",0.091199744511023,0.347182617138544,0.306706833092401,"HSPA1B",1
"GO:0072243","GO:0072243","metanephric nephron epithelium development","1/96","12/12100",0.091199744511023,0.347182617138544,0.306706833092401,"HES1",1
"GO:0075294","GO:0075294","positive regulation by symbiont of entry into host","1/96","12/12100",0.091199744511023,0.347182617138544,0.306706833092401,"HLA-DRB1",1
"GO:0097501","GO:0097501","stress response to metal ion","1/96","12/12100",0.091199744511023,0.347182617138544,0.306706833092401,"HSPA5",1
"GO:1903025","GO:1903025","regulation of RNA polymerase II regulatory region sequence-specific DNA binding","1/96","12/12100",0.091199744511023,0.347182617138544,0.306706833092401,"DDIT3",1
"GO:2000136","GO:2000136","regulation of cell proliferation involved in heart morphogenesis","1/96","12/12100",0.091199744511023,0.347182617138544,0.306706833092401,"HES1",1
"GO:0061458","GO:0061458","reproductive system development","4/96","217/12100",0.0939052487007447,0.350240993193483,0.309408652791634,"FKBP4/HSPA5/UBB/HMGB2",4
"GO:0002381","GO:0002381","immunoglobulin production involved in immunoglobulin-mediated immune response","2/96","65/12100",0.0939953304749043,0.350240993193483,0.309408652791634,"HLA-DRB1/HSPD1",2
"GO:0002793","GO:0002793","positive regulation of peptide secretion","2/96","65/12100",0.0939953304749043,0.350240993193483,0.309408652791634,"HLA-DRB1/HIF1A",2
"GO:2000628","GO:2000628","regulation of miRNA metabolic process","2/96","65/12100",0.0939953304749043,0.350240993193483,0.309408652791634,"HIF1A/JUN",2
"GO:0000380","GO:0000380","alternative mRNA splicing, via spliceosome","2/96","66/12100",0.0964500318025523,0.350240993193483,0.309408652791634,"HNRNPA1/TRA2B",2
"GO:0006096","GO:0006096","glycolytic process","2/96","66/12100",0.0964500318025523,0.350240993193483,0.309408652791634,"DDIT4/HIF1A",2
"GO:0046209","GO:0046209","nitric oxide metabolic process","2/96","66/12100",0.0964500318025523,0.350240993193483,0.309408652791634,"HSP90AA1/KLF2",2
